City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,cukai,75,MY,1525744800,74,4.25,103.42,86.0,8.05
88,husavik,12,CA,1525750308,52,50.56,-96.99,58.47,17.16
89,tuatapere,32,NZ,1525750308,100,-46.13,167.69,52.71,27.78
90,le port,92,FR,1525750308,100,42.87,1.37,44.25,1.5
91,upernavik,8,GL,1525750309,88,72.79,-56.15,6.54,9.55
92,carnarvon,0,ZA,1525750309,62,-30.97,22.13,51.45,10.0
93,nikolskoye,0,RU,1525746600,87,59.7,30.79,48.2,8.95
94,mnogovershinnyy,0,RU,1525750310,61,53.94,139.92,55.95,2.95
95,kodiak,1,US,1525747980,43,39.95,-94.76,71.6,8.05
96,luderitz,48,NA,1525750310,96,-26.65,15.16,58.74,7.99
97,nizhniy kuranakh,20,RU,1525750310,50,58.84,125.49,57.84,11.56
98,chokurdakh,64,RU,1525750311,98,70.62,147.9,16.44,9.66
99,ponta do sol,20,BR,1525750311,70,-20.63,-46.0,61.62,7.43
100,samarai,88,PG,1525750312,100,-10.62,150.67,81.42,10.45
101,khuzhir,80,RU,1525750312,52,53.19,107.35,40.2,9.22
102,saint george,40,GR,1525747800,93,39.45,22.34,59.0,3.36
103,port elizabeth,1,US,1525748160,81,39.31,-74.98,60.8,4.7
104,nandi hills,75,KE,1525748400,93,0.11,35.19,51.8,3.36
105,jieshi,64,CN,1525750314,100,22.82,115.83,76.47,3.18
106,vila,0,IT,1525747800,72,45.18,8.4,60.8,5.82
107,beringovskiy,88,RU,1525750315,100,63.05,179.32,28.5,25.21
108,nome,1,US,1525749300,60,30.04,-94.42,73.4,3.36
109,iskateley,92,RU,1525750315,100,67.68,53.15,31.38,4.18
110,kavieng,68,PG,1525750316,100,-2.57,150.8,82.14,8.66
111,new norfolk,20,AU,1525748400,66,-42.78,147.06,59.0,14.99
112,rome,90,IT,1525747800,100,41.89,12.48,60.8,3.36
113,port lincoln,0,AU,1525750316,91,-34.72,135.86,63.6,6.76
114,nishihara,90,JP,1525748160,76,35.74,139.53,57.2,4.7
115,uvinza,68,TZ,1525750317,95,-5.1,30.39,65.13,1.95
116,bambous virieux,40,MU,1525748400,88,-20.34,57.76,73.4,2.24
117,norheimsund,8,NO,1525750318,82,60.37,6.14,40.56,1.72
118,sucua,80,EC,1525750318,93,-2.46,-78.17,65.22,2.95
119,naryan-mar,92,RU,1525750318,100,67.67,53.09,31.74,4.07
